asin,review_count,avg_rating,negative_count,positive_count,combined_text,negative_ratio,cluster
B00004T8R2,7,4.285714285714286,1,6,"The 1/8&#34; jack has stopped making a good connection with my iPad's female jack so the headphones are virtually worthless now. Great price to value ratio. These are my go-to cheap over the ear headphones.  For those of us who cannot use your buds, this is a solid choice. This is the best earphone for audio books. Been ordering it for years. nice headphones worth buying Great sound, very comfortable, durable cord.  Unlike most headphones I've dealt with recently, this cord actually holds up really well! The one downside is that the size adjustment portion on the band is pretty weak. Mine broke, so I'm buying a new pair. Honestly, great deal for the price. I still use them with the size adjuster bit broken. I've previously paid a lot more for headphones that were no better than these.  I use them on my computer and my MP3 player while in my home only because I hate when sound leaks from my headphones in public and people can hear what I'm listening to, however, for around the house these headphones are great. These handy little headphones are a fine buy at the price.  The sound quality is good, and they are comfortable on my ears.  I wear glasses, and some headphones don't work well over the frames. This set fits comfortably.  I use them every day, mostly to listen to the radio and they are holding up well.  And, my family doesn't have to listen to my choice in music and news...........",0.14285714285714285,3
B00007056H,3,4.666666666666667,0,3,"Super comfy and awesome sound!! Such an upgrade from my Apple earbuds!! 100% love. Features:<br /><br />1. Frequency Response: 15-25,000 Hz<br />2. Impedance: 60 ohms<br />3. Weight: 2.4 ounces<br />4. Sensitivity: 103 dB SPL/1mW<br />5. Distortion: Less than 0.2 percent<br />6. Cord: Straight, Dual Entry, 4feet<br />7. L plug (for computers) plus audio plug adapter (for stereos)<br />8. Titanium-coated high-polymer diaphragm<br />9. Foam ear cushions for open ""hear through"" sound<br />10. Volume control on cord<br />11. Flexible headband sling<br />12. Lifetime warranty<br />(Okay, I don't have a clue what items 2 and 4 signify, but I thought I'd include them here for those of you who do)<br /><br />Pros:<br /><br />1. Very light and comfortable.<br />2. Ear cushions pivot back and forth for a comfortable fit<br />3. Ear cushions are replaceable<br />4. Headband adjusts for head size, both width and height<br />5. Flexible headband sling holds it in place, unlike other models that keep sliding off your head<br />6. Titanium is way cool<br />7. The sound is excellent, especially given the price. It is much, much better than the one I was using before.  Heavy bass ROX!!!<br />8. Volume control slider on the cord puts volume adjustment at your fingertips<br />9. Aesthetically pleasing<br />10. Clearly marked for left and right ears<br /><br />Cons:<br /><br />1. Four foot cord is rather limiting<br />2. This model doesn't include a microphone for those who like to chat on-line<br />3. I'm spending more time listening to music when I should be doing something else<br /><br />Overall: Great value for the price<br /><br />Rated: 4.5 stars<br /><br />Amanda Richards, June 10, 2008 I ordered these because of the reviews they'd received regarding the sizing and the sound.  All of the good reviews are right on. These are NOT $300 headphones but they have decent noise-cancelling properties for the price.  In addition, they stay on my ears when I'm exercising which is always nice.  My only complaint is that the headphones themselves are just a hair too big for my head, so even adjusted to the smallest size/length, they could still be a bit shorter.  But because of the way they're built, they still stay stable on my head. I'm pleased with this purchase. I didn't have to spend a lot of my money to get something that works.",0.0,3
B00008MN45,3,4.666666666666667,0,3,"Really nice speakers that have wonderful volume control. These speakers work fine. Just remember the price. These aren't Bose or JBL.. They work just like they should.  What can I say, they're speakers.",0.0,2
B000092TT0,3,5.0,0,3,"Needed a Living Room sub for our 5.1 system. had to be somewhat small but pack a good punch.<br />Harman Kardon AVR1700 receiver, Axiom Audio M2 bookshelf and BIC center channel and couple of small polk audio rears.<br />once i went online read about a good starting point on this sub, it made my H/K auto setup so much easier. 80 is my crossover start and setup using H/K's LFE sub output. good match.<br />we get good deep sound (*way better than the cheaper sub we had earlier), it is pretty harmonious with our Axiom and BIC fronts.<br />still need to do a bit more tweaking as we run more blu ray movies. time for Matrix to be played. have only owned this for one week. so far can't be happier. This is pretty heavy, but not so large that it's hard to position. I have it next to my computer that I use to listen to Amazon streaming MP3 music. My main speakers are NHT Model Twos, and this subwoofer supplies an excellent bottom end to the music. I haven't played it loud yet, but I'm looking forward to trying it out on a movie soundtrack.<br /><br />The power switch has three positions -- Off, On, and Auto. In the Auto setting, it turns itself on if it senses an incoming signal. When I'm playing music softly, I'm finding that it takes a while to discover that it should turn on. In my case, the subwoofer is sitting next to my desk, and it's not hard to reach the power switch. But keep this in mind if you want to hide it somewhere that would make the power switch hard to reach. (It's near the top of the rear of the cabinet.) There's also a phase switch, with two positions. There's no magic to that; just set it to the position that sounds best. As with all subwoofers, the placement in your room isn't critical, although the subwoofer's sound can be somewhat amplified if you locate it in a corner.<br /><br />Update: I've had time now to use this with lots of different types of music, as well as TV and movies. The bass is very solid and tight, with no boominess at all. It blends beautifully, with plenty of power for my medium-sized room. This is very musical, adding firm support that's more than just ""punch"". This is surely one of the best values in powered subwoofers, and I'd buy it again in a heartbeat. It is hard to find a better subwoofer under $200",0.0,2
B0001FTVEK,6,3.1666666666666665,3,3,"Overall I am quite happy with this product. I believe the quality is good for the price and hope to use the headphones for quite a long time. The only hitch I had was with the connection. The instructions are fairly clear but I had to do some experimentation to get everything to work with my television.  One thing of note which might help ATT Uverse customers -- plug the red and white RCA connectors to the actual Uverse box (at the rear -- Audio Out) rather than to your television. I think this may have been mentioned by another reviewer but I had overlooked it earlier. Plugging into the unit eliminates the static also.  One last thing -- I would advise buyers of this product to purchase extra pads for the headphones. Once a style is no longer universally available the replacement pads can be very hard to find. For the $16 it is worth the money and saves grief later on. These are fabulous!  A friend told me about them. You can hear everything in these headphones while watching TV- birds, footsteps and all things you don't normally hear on a TV show.  Especially good for understanding English speaking PBS shows.  Great thing about these is that one person can have them on while watching TV , the sound on the TV can be muted so the other person sleeping doesn't hear the TV.  I would highly recommend them.  Just plug in and they work. Easy! After 6.5 months the charging dock stopped  recharging the headphones batteries.<br />I am not sure how the 2-year limited warranty works. As I try to start all my reviews with where it's made, this one falls into the Made in China category. It's not an extremely expensive hi-fi unit, eben thou it says it is hi-fi, but for the price the sound quality should a lot better. It's like listening to an am radio station that goes in and out of range. The tuning is not a simple selector switch, but instead it uses a scroll wheel located right by the volume scroll wheel. I'm not sure what genius thought that was a smart location for it, because on a few a occasions I've changed the tuning by mistake. if your TV is like mine with an aux cord out, and no sound system, than you might run into the issue where the TV won't play through its own speakers when the unit is plugged in and your using it. This may be an issue if you wanted to use it as a audio booster if you are hard of hearing and want a separate volume control from that of the TV's speakers. Overall it was just poor experience with the unit. I usually love Sennheiser products, and they used to be made very well, I believe there high end is still that way. but like every company these days they sacrifice a lot trying to cheapen themselves to a price point that everyone can afford. I was very conflicted before buying these headphones as I read the negatives and questioned whether these were as good as the last Sennheiser headphones that just broke. I will say that these perform differently when not charged fully. It is best not to use them before you've left them overnight on the charger. Then you will have less problems with static. You may hear static when you first put them on but as soon as the music or youtube video has started the sound is crystalline. I'm currently listening to some of my favorite music and it could not sound better. So I'm glad I took the chance even when I expected there to be issues. Sennheiser is really as good as AKGs once tuned in. You can also walk around the house with these on and take your music with you. Just charge them before using for the best results.<br /><br />~The Rebecca Review I have owned many wireless headsets over the years due to long time hearing loss. This is the most expensive of the the lot and I had hoped these would be a better choice. Unfortunately the frequency seems to drift and you are constantly trying to adjust it back to get the volume back. The adjustment wheel is very sensitive and a pain to operate.  If the audio stops the unit times out and goes to white noise. I have used ref and infrared units some costing twenty dollars and NONE of them had these problems. Don’t ever try and tell me you get what you pay for. Life is not that simple.",0.5,2
B000R9AAJA,5,4.2,1,4,"I put a computer in the garage. I needed speakers that were cheap because of their limited (anticipated) use. These are very good, especially for the price. Let's face it, for the money you're not going to get true audiophile quality sound, but...<br /><br />I have all my music digitized and stored on a NAS. I was just looking for a cost effective (i.e. cheap) way to listen to my music in my bedroom where I have a laptop connected. These are small, very well constructed, nice looking, and nice sounding little speakers. I rated these 4 stars for sound quality considering the price. Just what I was looking for, very happy with them. These should only be purchased if you need portable speakers for a laptop or tablet. The sound is mediocre at best. They are light weight and portable.<br /><br />If you are looking for an affordable desktop speaker i recommend Creative A250 (about $30) These are great inexpensive speakers.  I needed some speakers for my desktop at work and these are great for that.  I haven't turned them up a lot since I can't be jamming out at work.  But for the price, they are well worth it. Small, compact, easy simple setup. Quality speakers with BIG sound. Expect nothing less from Logitech.",0.2,2
B000UXZQ42,5,3.6,1,4,"They bought these for us at work. They work so well, thar I bought a pair for home when I telework. They dramatically improve the ability to hear in meetings when using zoom or another software.  I would definitely recommend these headphones for both professional and private use. I am very happy with the sound and overall fit.  However,  the headphones start to hurt on long calls when wearing glasses.  Overall it is s great product. I bought these headphones because I thought they would last me a long time and the reviews were great.<br />The first pair I got at Walmart and those lasted me 2 years and then they stopped working and the latest one I bought on Amazon and thet just lasted me 1 year. I am so disappointed with these. I won't be buying them again. This really works well for Teams calls. The microphone and the noise cancelling in MS Teams seem to work very well, where I have been able to attend meetings and am heard very clearly without too much background noise. Felt like cheap plastic. Came with no original box just a plastic bag, I don’t know if maybe just Logitech sold it in bulk to the seller this way as it was easier for shipping and all for them. However, made me somewhat suspicious it could be a fake as it felt very cheap and other reviewers mentioned the same thing. I tried using the mute button on a face time call with my computer and after I clicked it the audio was lost completely, I tried messing with the audio settings on my computer and not even that would fix it. No other headphones I have ever used have done this and I have used headsets to work on a computer for 10 years. The sides of the headphones just said logi on them. I returned this!",0.2,3
B000ZH98LU,4,3.75,1,3,"I needed speakers for my computer.  Theses are inexpensive but have a very good sound.  I like that they don't need batteries and use a USB slot on the back of my computer.  They are only about 6.4 inch tall so they don't take up much room on my desk. THESE SPESKERS ARE OK.  THEY SOUND OK.  THE ONLY THING I DON'T LIKE ABOUT THEM IS THAT THE VOLUME CONTROL ARE PUSH BUTTON RATHER THAN DIAL BUTTON. AND YOU HAVE TO HOLD THE SPEAKER IN ORDER TO ADJUST THE VOLUME.  THEY WERE EASY TO CONNECT.  JUST PLUG IN THE USB CABLE. So I ordered these because my laptops music jack was broken.  These plug into your USB port and they worked perfectly for me.  Granted they are not powered so the volume only goes so high...  They aren't loud but they were perfect for my use.  If your looking for loud gaming sound or music you should look for a amplified set of speakers. Returned these speakers because they didn't produce sound loud enough in order to hear anything from my Macbook Pro computer. The sound they projected had a tinny quality that only made the background noises heard and not the speaking voices. I was disappointed because I have always purchased cheap speakers before, but I upgraded finally to ELEGIANT USB Powered Sound Bar Speakers after these failed me and I was not disappointed. The sound bar was three times more expensive, but the sound it produced cannot be beat. I get surround sound quality from my computer and the sound bar is much more compact and sleek than two clunky speakers. In my opinion, the sound bar cannot be beat!",0.25,2
B00140DBRY,3,4.333333333333333,0,3,"I've had this model for several years, and I lost it 2 weeks ago.  I a world of personal music (MP3) I find this small radio is still my favorite source. If for nothing else instant information.  I has great sound long battery life and you can plug in external speakers.<br />This little radio  (and a couple of AAA batteries) is what got me through 2 weeks of no power during Hurricane Sandy. Worth the investment. I primarily wanted a small radio to listen to AM at night and this one turned out to be a challenge because there's no backlight on the<br />Tuning dial. It's impossible to read the dial. You can't tell which mode you're in  ( AM, FM or Weather) because the writing is tiny.<br />Fortunately I tend to stay on one station most of the time because I listen to &#34; Coast to Coast&#34; on AM8.70. & I have mastered the Power Key & lock switches in the dark.<br />Reception is good and I use Sony headphones. With off brand headphones, not so good.<br />This radio is probably OK if you're using it when it's light but not in the dark.<br />Print on keys wears off quickly, less than 1 year use. I bought one of these from another company for around $25.00.I was hesitant at first because it's a lot of money for a radio that you can only use with a headphone or ear buds but i took a gamble knowing it's a brand name and i figured that if i don't like it, i can always return it.Damn...this radio sounded great & i didn't know at first but it has a stereo sound and not like one of those radios that sounded tinny w/ a lot of echos (G.E.Radios are notorious for this!) I decided to keep it and the channels lock-on in the push of a button if you set your favorite channels.I never regretted buying this and after 6 years of daily use and dropped it numerous times, it's durability still amazes me and the thing just works EVERY TIME! you cannot buy anything better than this radio for the price in my opinion...if you do please let me know but it has to be $25.00 & lower.Good luck if you can find something like a Grundig radio for this price(they usually starts @ $60.00 & above)...",0.0,1
B0029Z9UNW,4,3.25,1,3,"I was looking to replace/upgrade my multimedia speakers without breaking the bank. These speakers fit my price range. I was iffy on buying these because I had never heard of the brand before, but the reviews were pretty positive, so I gave them a shot. Boy, am I glad that I did. They arrived in wonderful condition, as Amazon.com never disappoints when shipping anything. They hook up a bit differently than basic multimedia speakers,  but I had no trouble hooking them up. The sound out of these little powerhouses is fantastic. We're listening to Thelonious Monk, and it feels as if we're sitting right at one of his jazz shows way back when. It sounds good with any genre of music. The customizable bass and treble settings, make things nice. You're not put over the top with crazy controls, either. Operation is pretty straightforward. Anyone with a basic knowledge of technology, shouldn't have any problem using these speakers.  The only thing that I didn't like is that the remote gave out after only one use. We can't seem to get it to work now. That's the only reason I'm knocking them a star. If you want good bang for your buck, look no further. You won't be disappointed. Volume control feature is not very sophisticated. Bass delivery is on side of box - seems directionally challenged. Easy to set up. Stupid short plugs and wires... So cheap! System arrived quickly and suits my needs. Maybe I should have gotten a Bluetooth system. This is plugged into my TV My last review was a generous one, only because I didn't allow much time to pass before I did my first review. Things have changed. I have purchased four sets of these speaker systems. The very first set I bought for myself, last Christmas and over a year ago died. Amplifier electronics went bad, I think. This was way after the warranty expired but less than one year. I bought one set each prior to any malfunction, for both of my young adults, and another one for myself. The set I bought three weeks ago was dead when it arrived and the only music it made was a very loud buzzing right out of the box. So, I have two speaker set's that don't work and I will pass judgment after I talk with the manufacturer (Eagle) tomorrow. My big worry now is if the speaker sets' I bought my kids will die in short order. All in all, I am not pleased with the longevity of performances of the Eagle Orion. I purchased a set of Eagle Tech sound stage speakers prior to buying the Orion's and, the Eagle tech 140 watt version still sound great. So, I'm going straight to the manufacturer and see if they will do right by me. I will post what the resolution is, good or bad. This whole debacle is really a shame because they are great looking and sounding speakers and I think more often than not, this sort of thing happens for the speed of sales therefore decreasing quality control and inadequate testing prior to shipping. Two out of four in less than one year or 3 weeks means something isn't right with the process. Speaker system arrived today and was straight forward hook up to my 32&#34; flat screen. I give three stars<br /><br />1 star for quality of sound this little system really boosted the sound of my TV in my living room. You can adjust the base. treble and volume individually to you're listening needs as my living room is 15x18 feet and fills the room with good sound and comes with a remote<br /><br />1 star for simplicity of hookup to any device i want<br /><br />1 star for the durability of the system itself and looks great for the price.<br /><br />I took away two stars for GOOD reasons<br /><br />The remote is very cheep junk i do not expect to last for more than a few weeks. if you stack four quarters up that's how thick the remote is and it bends easily I am going to try to program a universal remote to this tomorrow<br /><br />The second star is removed because the buttons on the front are poor quality the first time i touched the volume button it got stuck in and had to gently tap it several times for it to pop back out , I expect the buttons to not last if used every day so again i will try to set up a universal remote for volume control<br /><br />Over all good sounding system remote needs improvement along with buttons on front",0.25,2
