asin,rating,text,sentiment_label,predicted_label
B01N19UKLE,1.0,"I was super excited when I got this product but unfortunately, it does not work. It's a great idea since Apple has decided to be lame and eliminate the headphone jack. Sadly, every time I try to plug it in, I keep getting a pop up that says something about being unable to connect/support my device. I will be returning this. :(",negative,negative
B00GM7V8I8,5.0,"i love everything from smartthings and the presence sensors work perfectly.  the few lights i have hooked up already now automatically turn off when im not &#34;present&#34; heheh, just one example of the many perks - i don't have to run around each morning making sure all lights are off before i leave",positive,positive
B00MRL30N4,5.0,"I bought this to replace the factory stereo in my car. It has many good things and very few bad things going for it. First, the good.<br /><br />It was easy to install and easy to connect to my phone and iPad. When I start my car it automatically connects and starts playing where it left off. It has some cool options like different color lights for the display and buttons and the ability to have them change automatically. It plays CDs great and the radio sounds good. My rear left speaker was sounding bad with my old stereo, like the bass was distorted and it needed replacing, but when I installed this stereo the speaker sounds fine now.<br /><br />The bad? The screen is very small, I thought it was bigger based on the pictures. Also, you can't have the time displayed AND the song info, something my factory stereo could do. I hate not being able to see the time.<br /><br />That's it. A good stereo and a good price.<br /><br />--- UPDATE ---<br /><br />I figured out how to display the clock on the screen so it never goes away, and I can still see track and other info. I set it up with my phone so when I start my car it connects and autoplays the track my phone is on. It takes a while to download my phone info on to the stereo for calling, but once it's on there I can use the stereo to select numbers to call. The mic works great, no one ever has issues hearing me and I can hear them through the stereo speakers just fine.<br /><br />I love technology, and this stereo. After 6 months of use the only issue I have is that I could not find an install bracket that fit the stereo for my car, so it's not secure but it is snug and not easily moved around.",positive,positive
B08R7641MM,1.0,"First, mine didn’t smell.<br /><br />Now that I have the positive attributes out of the way let’s discuss why you should avoid this case.<br />I reluctantly paid $33 for this and I have to wonder what I was thinking. It’s nowhere near worth that much.<br /><br />It will not/cannot survive a side impact. Well that’s not true. It cannot protect your APM from a hit or drop that could damage them from the top. I’m not sure if it could from the bottom or sides. It’s either molded cardboard or thin plastic covered with fabric. No padding, just fabric.<br /><br />Internally there is another layer of cardboard (or plastic, thin, very thin) covered in a felt like material. There’s absolutely no drop protection.<br /><br />The magnets designed to put the APM into “sleep” mode lay flat. You will have to pinch them up while putting your headphones into it if you wish to keep them from clanging together and not using the stock case. Even then the magnets don’t work every time. See my pic.<br /><br />Overall this is a $10 case marked up cause they can. I mean we have expensive headphones so why not charge us more? We have already proven we will pay.<br /><br />Skip this thing. Mine is going back. If you want something to protect them in a backpack then still look elsewhere. You can get something equal to this for less.<br /><br />Thanks for your time.",negative,negative
B07JKNZM19,5.0,I have two pair of apple headphones that stay tangled up in my work drawer : /  These little babies cleared that all up! Excellent,positive,positive
B07R8ND75N,5.0,Most every thing is Speakon these days but once in a while I needed to connect my Speakon cables to speakers that only have 1/4 inch connectors. Having these in my kit allows me to do this easily. They're quite handy.,positive,positive
B07N3YH327,5.0,"I had such a problem trying to charge, wait, and then use headphones....<br />This splitter I got for my Samsung Note 10 works !!!<br />Thank you!!",positive,positive
B0B2HXJZ98,5.0,"I am no one's fitness freak at my age, but I do have things that I need to monitor for my continued good health. I decided to go all Samsung with this device cycle and I'm glad I did. I went with the Bluetooth only version because I always keep my phone on or near my person, and spending the money on an LTE capability and line for the watch does not make sense for me. Even without the phone line, this watch does just about everything but sign my paycheck. It's easy to set up and use. It interfaces well with my S22 Ultra and my Galaxy Buds 2 Pro, providing useful control of both. The available apps, faces and features should satisfy the most demanding user. Battery life is outstanding. I'm getting more than 2 days of continuous use on each charge. Charging is wireless and quick. If you have run it all the way down, it will take a couple of hours to bring it back to full charge, but a half hour will give you useful service time. I have picked up a few things that make my use nice and easy. You can read my reviews on them if you want. I cannot recommend this watch highly enough. Samsung has a winner here.",positive,positive
B09BVZ22H8,5.0,"Nice product, works well, it takes a little time to adjust to hearing both music in speakers and also hearing outside noise , not noise canceling, that is the purpose",positive,positive
B0748JM8M5,5.0,I have had these since October.  The sound quality is GREAT!  Cancels noise around me when they are in my ears.  Battery is OK but not even close to what they say.  Maybe 4 hours with the charge in between.  Mine decided to rename themselves and then sometimes decide not to connect.  Kind embarrassing when I start the music and it's blaring from my phone and everyone around can hear but I can't and realize they didn't connect again.<br /><br />Update have had these over a year and seriously the best headphones ever.  After upgrades and set up again on my iPhone I have not had any troubles with sound or connection.  Battery lasts a long time and headphones never disconnect.,positive,positive
